date,total_fees,channel_open_fees,channel_close_fees,lightning_fees,lightning_pct
2017-01-01,65.07949883,0,0,0,0
2017-01-02,112.88414659,0,0,0,0
2017-01-03,117.50869676,0,0,0,0
2017-01-04,193.3374362,0,0,0,0
2017-01-05,114.99194252,0,0,0,0
2017-01-06,127.77072194,0,0,0,0
2017-01-07,106.3384173,0,0,0,0
2017-01-08,91.2413482,0,0,0,0
2017-01-09,102.04592665,0,0,0,0
2017-01-10,119.94087094,0,0,0,0
2017-01-11,111.82087465,0,0,0,0
2017-01-12,105.50392824,0,0,0,0
2017-01-13,96.9954013,0,0,0,0
2017-01-14,86.85666196,0,0,0,0
2017-01-15,82.22432059,0,0,0,0
2017-01-16,103.64270285,0,0,0,0
2017-01-17,109.39305302,0,0,0,0
2017-01-18,107.93626344,0,0,0,0
2017-01-19,112.3957332,0,0,0,0
2017-01-20,104.84963495,0,0,0,0
2017-01-21,94.58963263,0,0,0,0
2017-01-22,87.1148655,0,0,0,0
2017-01-23,109.01172711,0,0,0,0
2017-01-24,143.1652105,0,0,0,0
2017-01-25,135.00808277,0,0,0,0
2017-01-26,123.55631958,0,0,0,0
2017-01-27,114.04371837,0,0,0,0
2017-01-28,122.5350693,0,0,0,0
2017-01-29,119.8377983,0,0,0,0
2017-01-30,135.15608339,0,0,0,0
2017-01-31,145.66158893,0,0,0,0
2017-02-01,154.9165724,0,0,0,0
2017-02-02,142.30055361,0,0,0,0
2017-02-03,162.42120704,0,0,0,0
2017-02-04,138.64644801,0,0,0,0
2017-02-05,136.17869567,0,0,0,0
2017-02-06,154.93020175,0,0,0,0
2017-02-07,170.75671139,0,0,0,0
2017-02-08,157.14493504,0,0,0,0
2017-02-09,174.18568718,0,0,0,0
2017-02-10,139.77915541,0,0,0,0
2017-02-11,117.08000976,0,0,0,0
2017-02-12,102.51055926,0,0,0,0
2017-02-13,136.77242215,0,0,0,0
2017-02-14,140.99131586,0,0,0,0
2017-02-15,134.04888989,0,0,0,0
2017-02-16,169.87720101,0,0,0,0
2017-02-17,165.84442388,0,0,0,0
2017-02-18,152.22901802,0,0,0,0
2017-02-19,129.44377921,0,0,0,0
2017-02-20,159.91401438,0,0,0,0
2017-02-21,165.81707207,0,0,0,0
2017-02-22,182.03570523,0,0,0,0
2017-02-23,211.65472424,0,0,0,0
2017-02-24,226.7099144,0,0,0,0
2017-02-25,191.30417997,0,0,0,0
2017-02-26,161.17260121,0,0,0,0
2017-02-27,195.38746144,0,0,0,0
2017-02-28,227.3714723,0,0,0,0
2017-03-01,229.59036693,0,0,0,0
2017-03-02,252.22663973,0,0,0,0
2017-03-03,259.68606189,0,0,0,0
2017-03-04,220.29548015,0,0,0,0
2017-03-05,216.69618574,0,0,0,0
2017-03-06,238.98093612,0,0,0,0
2017-03-07,269.77191295,0,0,0,0
2017-03-08,233.7307623,0,0,0,0
2017-03-09,236.67178552,0,0,0,0
2017-03-10,257.91797636,0,0,0,0
2017-03-11,217.66771727,0,0,0,0
2017-03-12,190.62879952,0,0,0,0
2017-03-13,220.75092528,0,0,0,0
2017-03-14,256.53171308,0,0,0,0
2017-03-15,236.25501962,0,0,0,0
2017-03-16,264.55158129,0,0,0,0
2017-03-17,244.58901754,0,0,0,0
2017-03-18,217.05770532,0,0,0,0
2017-03-19,211.62793576,0,0,0,0
2017-03-20,241.15787713,0,0,0,0
2017-03-21,248.6366135,0,0,0,0
2017-03-22,265.84522812,0,0,0,0
2017-03-23,235.99807634,0,0,0,0
2017-03-24,231.55050182,0,0,0,0
2017-03-25,182.00765156,0,0,0,0
2017-03-26,154.65177428,0,0,0,0
2017-03-27,194.84378734,0,0,0,0
2017-03-28,233.22176362,0,0,0,0
2017-03-29,212.93579722,0,0,0,0
2017-03-30,203.40448684,0,0,0,0
2017-03-31,217.27700693,0,0,0,0
2017-04-01,190.64263242,0,0,0,0
2017-04-02,180.73640574,0,0,0,0
2017-04-03,221.03918997,0,0,0,0
2017-04-04,200.30284512,0,0,0,0
2017-04-05,236.29861443,0,0,0,0
2017-04-06,221.71976913,0,0,0,0
2017-04-07,225.14679282,0,0,0,0
2017-04-08,171.61302076,0,0,0,0
2017-04-09,168.05979031,0,0,0,0
2017-04-10,197.26586623,0,0,0,0
2017-04-11,226.34667638,0,0,0,0
2017-04-12,212.1552116,0,0,0,0
2017-04-13,216.66765492,0,0,0,0
2017-04-14,235.48446532,0,0,0,0
2017-04-15,201.55356574,0,0,0,0
2017-04-16,158.85627688,0,0,0,0
2017-04-17,180.72834518,0,0,0,0
2017-04-18,220.20687325,0,0,0,0
2017-04-19,209.52935942,0,0,0,0
2017-04-20,228.37557725,0,0,0,0
2017-04-21,244.38907052,0,0,0,0
2017-04-22,180.34051775,0,0,0,0
2017-04-23,169.67309519,0,0,0,0
2017-04-24,187.96137981,0,0,0,0
2017-04-25,271.62738431,0,0,0,0
2017-04-26,253.84367765,0,0,0,0
2017-04-27,256.44731571,0,0,0,0
2017-04-28,249.68419536,0,0,0,0
2017-04-29,256.37648122,0,0,0,0
2017-04-30,199.30763935,0,0,0,0
2017-05-01,227.7488656,0,0,0,0
2017-05-02,272.67966183,0,0,0,0
2017-05-03,247.34367708,0,0,0,0
2017-05-04,307.09568071,0,0,0,0
2017-05-05,261.31168454,0,0,0,0
2017-05-06,296.57369266,0,0,0,0
2017-05-07,277.03575031,0,0,0,0
2017-05-08,316.4495528,0,0,0,0
2017-05-09,302.96153363,0,0,0,0
2017-05-10,303.26495895,0,0,0,0
2017-05-11,279.58022914,0,0,0,0
2017-05-12,322.05057537,0,0,0,0
2017-05-13,301.19440047,0,0,0,0
2017-05-14,297.47622441,0,0,0,0
2017-05-15,327.30377033,0,0,0,0
2017-05-16,343.40900559,0,0,0,0
2017-05-17,485.9361122,0,0,0,0
2017-05-18,392.02141315,0,0,0,0
2017-05-19,442.811934,0,0,0,0
2017-05-20,387.7538543,0,0,0,0
2017-05-21,352.78845637,0,0,0,0
2017-05-22,406.63804239,0,0,0,0
2017-05-23,468.38356854,0,0,0,0
2017-05-24,472.94001691,0,0,0,0
2017-05-25,498.87943053,0,0,0,0
2017-05-26,469.79624965,0,0,0,0
2017-05-27,528.8278222,0,0,0,0
2017-05-28,421.48503001,0,0,0,0
2017-05-29,494.90441559,0,0,0,0
2017-05-30,588.38790095,0,0,0,0
2017-05-31,570.4198544,0,0,0,0
2017-06-01,569.07004507,0,0,0,0
2017-06-02,470.15193004,0,0,0,0
2017-06-03,545.64725387,0,0,0,0
2017-06-04,441.99355556,0,0,0,0
2017-06-05,475.43804182,0,0,0,0
2017-06-06,511.33813564,0,0,0,0
2017-06-07,668.13204735,0,0,0,0
2017-06-08,490.9904414,0,0,0,0
2017-06-09,455.56014992,0,0,0,0
2017-06-10,390.9040331,0,0,0,0
2017-06-11,356.12024978,0,0,0,0
2017-06-12,409.8643713,0,0,0,0
2017-06-13,479.43977642,0,0,0,0
2017-06-14,454.74199601,0,0,0,0
2017-06-15,435.40345777,0,0,0,0
2017-06-16,375.35139576,0,0,0,0
2017-06-17,311.39831919,0,0,0,0
2017-06-18,277.9955946,0,0,0,0
2017-06-19,387.16284645,0,0,0,0
2017-06-20,388.08537505,0,0,0,0
2017-06-21,462.70370719,0,0,0,0
2017-06-22,447.10509654,0,0,0,0
2017-06-23,338.95972894,0,0,0,0
2017-06-24,307.20884336,0,0,0,0
2017-06-25,258.68838592,0,0,0,0
2017-06-26,375.05657594,0,0,0,0
2017-06-27,367.89377898,0,0,0,0
2017-06-28,385.86002411,0,0,0,0
2017-06-29,341.40053758,0,0,0,0
2017-06-30,357.17190559,0,0,0,0
2017-07-01,255.27403629,0,0,0,0
2017-07-02,197.85958294,0,0,0,0
2017-07-03,283.21012118,0,0,0,0
2017-07-04,293.93425872,0,0,0,0
2017-07-05,225.82080685,0,0,0,0
2017-07-06,241.52060511,0,0,0,0
2017-07-07,240.65571245,0,0,0,0
2017-07-08,192.41183082,0,0,0,0
2017-07-09,157.22803089,0,0,0,0
2017-07-10,205.57250621,0,0,0,0
2017-07-11,207.57617324,0,0,0,0
2017-07-12,222.35199706,0,0,0,0
2017-07-13,210.79018124,0,0,0,0
2017-07-14,215.37764419,0,0,0,0
2017-07-15,378.35756847,0,0,0,0
2017-07-16,166.92852306,0,0,0,0
2017-07-17,198.03657541,0,0,0,0
2017-07-18,224.51846967,0,0,0,0
2017-07-19,201.60223858,0,0,0,0
2017-07-20,229.27219537,0,0,0,0
2017-07-21,249.73969757,0,0,0,0
2017-07-22,171.03691992,0,0,0,0
2017-07-23,125.37693822,0,0,0,0
2017-07-24,166.96352984,0,0,0,0
2017-07-25,168.49293292,0,0,0,0
2017-07-26,167.53481996,0,0,0,0
2017-07-27,166.27056958,0,0,0,0
2017-07-28,188.43132327,0,0,0,0
2017-07-29,156.46665323,0,0,0,0
2017-07-30,138.11682207,0,0,0,0
2017-07-31,194.86886623,0,0,0,0
2017-08-01,75.94662047,0,0,0,0
2017-08-02,130.51485681,0,0,0,0
2017-08-03,124.10595421,0,0,0,0
2017-08-04,113.47123621,0,0,0,0
2017-08-05,113.56678695,0,0,0,0
2017-08-06,87.90639938,0,0,0,0
2017-08-07,121.82649183,0,0,0,0
2017-08-08,159.06311046,0,0,0,0
2017-08-09,157.95191308,0,0,0,0
2017-08-10,193.18600285,0,0,0,0
2017-08-11,234.94470226,0,0,0,0
2017-08-12,210.75240215,0,0,0,0
2017-08-13,189.71104645,0,0,0,0
2017-08-14,249.18827382,0,0,0,0
2017-08-15,350.45038263,0,0,0,0
2017-08-16,347.52500864,0,0,0,0
2017-08-17,365.31634907,0,0,0,0
2017-08-18,337.96192313,0,0,0,0
2017-08-19,265.91179874,0,0,0,0
2017-08-20,208.98199629,0,0,0,0
2017-08-21,297.96496476,0,0,0,0
2017-08-22,334.18474511,0,0,0,0
2017-08-23,541.97068152,0,0,0,0
2017-08-24,385.99923422,0,0,0,0
2017-08-25,425.81587924,0,0,0,0
2017-08-26,425.31312205,0,0,0,0
2017-08-27,358.8427277,0,0,0,0
2017-08-28,378.17846684,0,0,0,0
2017-08-29,461.76014165,0,0,0,0
2017-08-30,388.49753062,0,0,0,0
2017-08-31,413.21489691,0,0,0,0
2017-09-01,382.74200641,0,0,0,0
2017-09-02,290.49925993,0,0,0,0
2017-09-03,239.13526989,0,0,0,0
2017-09-04,325.4016802,0,0,0,0
2017-09-05,281.90480312,0,0,0,0
2017-09-06,272.59987797,0,0,0,0
2017-09-07,257.33579475,0,0,0,0
2017-09-08,217.76572461,0,0,0,0
2017-09-09,144.85041627,0,0,0,0
2017-09-10,143.23841995,0,0,0,0
2017-09-11,159.73383041,0,0,0,0
2017-09-12,148.9079562,0,0,0,0
2017-09-13,133.73148672,0,0,0,0
2017-09-14,153.73503588,0,0,0,0
2017-09-15,174.81664788,0,0,0,0
2017-09-16,119.91780546,0,0,0,0
2017-09-17,99.41066001,0,0,0,0
2017-09-18,168.30810036,0,0,0,0
2017-09-19,173.70341529,0,0,0,0
2017-09-20,146.40700953,0,0,0,0
2017-09-21,136.34884416,0,0,0,0
2017-09-22,117.1641681,0,0,0,0
2017-09-23,99.69585805,0,0,0,0
2017-09-24,83.67519444,0,0,0,0
2017-09-25,147.37049675,0,0,0,0
2017-09-26,150.08561133,0,0,0,0
2017-09-27,143.49865258,0,0,0,0
2017-09-28,134.45160224,0,0,0,0
2017-09-29,115.33216245,0,0,0,0
2017-09-30,101.44145793,0,0,0,0
2017-10-01,119.05349794,0,0,0,0
2017-10-02,180.47323995,0,0,0,0
2017-10-03,152.53441884,0,0,0,0
2017-10-04,136.73283395,0,0,0,0
2017-10-05,160.34424031,0,0,0,0
2017-10-06,149.02120217,0,0,0,0
2017-10-07,108.21556432,0,0,0,0
2017-10-08,111.79647505,0,0,0,0
2017-10-09,149.34098656,0,0,0,0
2017-10-10,167.2582099,0,0,0,0
2017-10-11,148.17289183,0,0,0,0
2017-10-12,174.4145147,0,0,0,0
2017-10-13,281.53458216,0,0,0,0
2017-10-14,227.59563891,0,0,0,0
2017-10-15,162.7073282,0,0,0,0
2017-10-16,193.41946089,0,0,0,0
2017-10-17,209.13726138,0,0,0,0
2017-10-18,192.2026716,0,0,0,0
2017-10-19,191.51239568,0,0,0,0
2017-10-20,161.97244556,0,0,0,0
2017-10-21,167.76730117,0,0,0,0
2017-10-22,155.33193023,0,0,0,0
2017-10-23,185.64433949,0,0,0,0
2017-10-24,199.79056912,0,0,0,0
2017-10-25,141.97537543,0,0,0,0
2017-10-26,112.65051758,0,0,0,0
2017-10-27,166.66745997,0,0,0,0
2017-10-28,175.03828084,0,0,0,0
2017-10-29,278.85712501,0,0,0,0
2017-10-30,263.59097424,0,0,0,0
2017-10-31,231.89499927,0,0,0,0
2017-11-01,296.93760422,0,0,0,0
2017-11-02,277.59079476,0,0,0,0
2017-11-03,271.77385265,0,0,0,0
2017-11-04,273.249729,0,0,0,0
2017-11-05,197.6563993,0,0,0,0
2017-11-06,240.33789733,0,0,0,0
2017-11-07,294.12731396,0,0,0,0
2017-11-08,262.16939123,0,0,0,0
2017-11-09,361.32993999,0,0,0,0
2017-11-10,319.97295719,0,0,0,0
2017-11-11,317.05792683,0,0,0,0
2017-11-12,583.61046709,0,0,0,0
2017-11-13,783.38626441,0,0,0,0
2017-11-14,615.08687921,0,0,0,0
2017-11-15,603.50996198,0,0,0,0
2017-11-16,502.64025918,0,0,0,0
2017-11-17,401.16643265,0,0,0,0
2017-11-18,289.98839235,0,0,0,0
2017-11-19,247.44354414,0,0,0,0
2017-11-20,329.01817427,0,0,0,0
2017-11-21,310.29655182,0,0,0,0
2017-11-22,256.40318228,0,0,0,0
2017-11-23,265.91956914,0,0,0,0
2017-11-24,233.53648718,0,0,0,0
2017-11-25,195.63976527,0,0,0,0
2017-11-26,191.22207725,0,0,0,0
2017-11-27,236.5030831,0,0,0,0
2017-11-28,245.23091351,0,0,0,0
2017-11-29,290.90212855,0,0,0,0
2017-11-30,270.63114407,0,0,0,0
2017-12-01,247.0519056,0,0,0,0
2017-12-02,190.29585342,0,0,0,0
2017-12-03,187.45114274,0,0,0,0
2017-12-04,226.11990963,0,0,0,0
2017-12-05,219.679754,0,0,0,0
2017-12-06,257.16995428,0,0,0,0
2017-12-07,364.60560502,0,0,0,0
2017-12-08,641.42966479,0,0,0,0
2017-12-09,567.08842445,0,0,0,0
2017-12-10,458.10029691,0,0,0,0
2017-12-11,483.63865068,0,0,0,0
2017-12-12,537.94407913,0,0,0,0
2017-12-13,604.2979452,0,0,0,0
2017-12-14,644.60794431,0,0,0,0
2017-12-15,592.70393429,0,0,0,0
2017-12-16,534.01138337,0,0,0,0
2017-12-17,535.43867532,0,0,0,0
2017-12-18,587.12548366,0,0,0,0
2017-12-19,662.59550536,0,0,0,0
2017-12-20,911.59174277,0,0,0,0
2017-12-21,1128.76167038,0,0,0,0
2017-12-22,1495.94647734,0,0,0,0
2017-12-23,1065.61559484,0,0,0,0
2017-12-24,881.12136284,0,0,0,0
2017-12-25,689.39441204,0,0,0,0
2017-12-26,725.62381816,0,0,0,0
2017-12-27,784.81712352,0,0,0,0
2017-12-28,785.83389168,0,0,0,0
2017-12-29,785.79504963,0,0,0,0
2017-12-30,778.5711097,0,0,0,0
2017-12-31,545.14452622,0,0,0,0
2018-01-01,469.41303646,0,0,0,0
2018-01-02,649.16497626,0,0,0,0
2018-01-03,749.68547259,0,0,0,0
2018-01-04,778.26109477,0,0,0,0
2018-01-05,701.35602085,0,0,0,0
2018-01-06,694.47790564,0,0,0,0
2018-01-07,686.11400249,0,0,0,0
2018-01-08,694.5264055,0,0,0,0
2018-01-09,752.4182028,0,0,0,0
2018-01-10,720.32570087,0,0,0,0
2018-01-11,697.44083354,0,0,0,0
2018-01-12,617.63579417,0.00024605,0,0.00024605,0.000000398
2018-01-13,528.46632102,0,0,0,0
2018-01-14,491.32446483,0.00031772,0,0.00031772,0.000000647
2018-01-15,510.11761779,0.002033,0,0.002033,0.000003985
2018-01-16,606.38246009,0.0015542,0,0.0015542,0.000002563
2018-01-17,675.09668652,0.00213005,0,0.00213005,0.000003155
2018-01-18,656.89753535,0.00121318,0,0.00121318,0.000001847
2018-01-19,491.48999429,0.00194414,0,0.00194414,0.000003956
2018-01-20,429.4031975,0.00241432,0,0.00241432,0.000005623
2018-01-21,343.36269629,0.00275615,0,0.00275615,0.000008027
2018-01-22,314.61253947,0.00184983,0,0.00184983,0.00000588
2018-01-23,285.95800518,0.00362362,0,0.00362362,0.000012672
2018-01-24,283.49809897,0.01042984,0,0.01042984,0.00003679
2018-01-25,220.85446644,0.00255071,0,0.00255071,0.000011549
2018-01-26,209.13221596,0.00178492,0,0.00178492,0.000008535
2018-01-27,168.25469362,0.00157433,0,0.00157433,0.000009357
2018-01-28,155.34485572,0.00056232,0,0.00056232,0.00000362
2018-01-29,145.75112922,0.00040677,0,0.00040677,0.000002791
2018-01-30,160.30090386,0.00388961,0,0.00388961,0.000024264
2018-01-31,162.20623626,0.00213548,0,0.00213548,0.000013165
2018-02-01,214.02754492,0.00303999,0,0.00303999,0.000014204
2018-02-02,274.36258243,0.00397537,0,0.00397537,0.000014489
2018-02-03,146.92776937,0.00157404,0,0.00157404,0.000010713
2018-02-04,111.31669812,0.00002158,0,0.00002158,0.000000194
2018-02-05,173.7675019,0.0022191,0,0.0022191,0.000012771
2018-02-06,164.26998571,0.00178218,0,0.00178218,0.000010849
2018-02-07,123.52109098,0.00202871,0,0.00202871,0.000016424
2018-02-08,87.98500449,0.00097826,0,0.00097826,0.000011118
2018-02-09,88.36425123,0.00078583,0,0.00078583,0.000008893
2018-02-10,88.79565618,0.00692597,0,0.00692597,0.000077999
2018-02-11,61.96458348,0.00062569,0,0.00062569,0.000010098
2018-02-12,69.96971094,0.00040455,0,0.00040455,0.000005782
2018-02-13,68.57325292,0.00023791,0,0.00023791,0.000003469
2018-02-14,63.75846926,0.00021758,0,0.00021758,0.000003413
2018-02-15,64.08005499,0.00027664,0,0.00027664,0.000004317
2018-02-16,58.25713445,0.00013748,0,0.00013748,0.00000236
2018-02-17,48.63875388,0.0001161,0,0.0001161,0.000002387
2018-02-18,44.58328081,0.0002049,0,0.0002049,0.000004596
2018-02-19,50.9081119,0.00013284,0,0.00013284,0.000002609
2018-02-20,52.23072575,0.00010227,0,0.00010227,0.000001958
2018-02-21,40.68256761,0.00008563,0,0.00008563,0.000002105
2018-02-22,37.60222865,0.00003003,0,0.00003003,0.000000799
2018-02-23,73.94810594,0.00051053,0,0.00051053,0.000006904
2018-02-24,96.10766905,0.00116191,0,0.00116191,0.00001209
2018-02-25,41.44060303,0.00014977,0,0.00014977,0.000003614
2018-02-26,46.19035139,0.00017831,0,0.00017831,0.00000386
2018-02-27,50.54578675,0.0001547,0,0.0001547,0.000003061
2018-02-28,51.29908837,0.0000576,0,0.0000576,0.000001123
2018-03-01,52.05574602,0.00053415,0,0.00053415,0.000010261
2018-03-02,42.01376982,0.00050288,0,0.00050288,0.000011969
2018-03-03,37.96379904,0.00119636,0,0.00119636,0.000031513
2018-03-04,33.46586197,0.00023329,0,0.00023329,0.000006971
2018-03-05,44.53138052,0.00035875,0,0.00035875,0.000008056
2018-03-06,37.24003205,0.00006021,0,0.00006021,0.000001617
2018-03-07,34.8377064,0.00025129,0,0.00025129,0.000007213
2018-03-08,35.63080068,0.00005048,0,0.00005048,0.000001417
2018-03-09,34.8459414,0.0001048,0,0.0001048,0.000003008
2018-03-10,40.27322368,0.00027451,0,0.00027451,0.000006816
2018-03-11,39.61038377,0.00002308,0,0.00002308,0.000000583
2018-03-12,33.46783473,0.00008416,0,0.00008416,0.000002515
2018-03-13,60.67628875,0.00055445,0,0.00055445,0.000009138
2018-03-14,37.04036657,0.00002517,0,0.00002517,0.00000068
2018-03-15,36.64624829,0.00021054,0,0.00021054,0.000005745
2018-03-16,29.65177072,0.00007953,0,0.00007953,0.000002682
2018-03-17,21.51541723,0.00004255,0,0.00004255,0.000001978
2018-03-18,25.33293823,0.00001294,0,0.00001294,0.000000511
2018-03-19,30.78064883,0.00009331,0,0.00009331,0.000003031
2018-03-20,31.3790795,0.00086721,0,0.00086721,0.000027637
2018-03-21,31.0252744,0.00004002,0,0.00004002,0.00000129
2018-03-22,27.7247885,0.00017114,0,0.00017114,0.000006173
2018-03-23,26.25767336,0.00016659,0,0.00016659,0.000006344
2018-03-24,21.76498898,0.00007333,0,0.00007333,0.000003369
2018-03-25,20.23147507,0.00016775,0,0.00016775,0.000008292
2018-03-26,26.98506764,0.00009078,0,0.00009078,0.000003364
2018-03-27,27.51028124,0.0004711,0,0.0004711,0.000017125
2018-03-28,24.09273355,0.00015843,0,0.00015843,0.000006576
2018-03-29,27.20122872,0.00019338,0,0.00019338,0.000007109
2018-03-30,25.7646693,0.00009676,0,0.00009676,0.000003756
2018-03-31,20.07447617,0.00027763,0,0.00027763,0.00001383
2018-04-01,18.28180544,0.00025784,0,0.00025784,0.000014104
2018-04-02,21.39248333,0.00039826,0,0.00039826,0.000018617
2018-04-03,25.12929851,0.00021733,0,0.00021733,0.000008648
2018-04-04,24.81899369,0.00078558,0,0.00078558,0.000031652
2018-04-05,24.46293557,0.00122248,0,0.00122248,0.000049973
2018-04-06,34.53138383,0.00053549,0,0.00053549,0.000015507
2018-04-07,27.16559493,0.00034149,0,0.00034149,0.000012571
2018-04-08,21.01734283,0.00033569,0,0.00033569,0.000015972
2018-04-09,22.42407623,0.00022187,0,0.00022187,0.000009894
2018-04-10,22.98846383,0.00011218,0,0.00011218,0.00000488
2018-04-11,22.75353142,0.000338,0,0.000338,0.000014855
2018-04-12,35.70920887,0.00076076,0,0.00076076,0.000021304
2018-04-13,36.36336175,0.0004808,0,0.0004808,0.000013222
2018-04-14,23.75939568,0.00057392,0,0.00057392,0.000024155
2018-04-15,24.30501194,0.00022296,0,0.00022296,0.000009173
2018-04-16,25.73063079,0.00016319,0,0.00016319,0.000006342
2018-04-17,26.13707878,0.00027361,0,0.00027361,0.000010468
2018-04-18,25.31797642,0.00008416,0,0.00008416,0.000003324
2018-04-19,27.6722839,0.00010743,0,0.00010743,0.000003882
2018-04-20,29.02296386,0.00026745,0,0.00026745,0.000009215
2018-04-21,28.40590158,0.00012871,0,0.00012871,0.000004531
2018-04-22,21.73949684,0.00006964,0,0.00006964,0.000003203
2018-04-23,29.13376866,0.00021069,0,0.00021069,0.000007232
2018-04-24,65.4108642,0.00175552,0,0.00175552,0.000026838
2018-04-25,91.73241634,0.00157313,0,0.00157313,0.000017149
2018-04-26,67.58831497,0.0020007,0,0.0020007,0.000029601
2018-04-27,55.63050596,0.00100469,0,0.00100469,0.00001806
2018-04-28,41.9470722,0.00062368,0,0.00062368,0.000014868
2018-04-29,34.8862402,0.00062952,0,0.00062952,0.000018045
2018-04-30,36.71911167,0.00018165,0,0.00018165,0.000004947
2018-05-01,31.75790178,0.00005419,0,0.00005419,0.000001706
2018-05-02,38.88684015,0.0004369,0,0.0004369,0.000011235
2018-05-03,39.40065166,0.00072508,0,0.00072508,0.000018403
2018-05-04,39.37853649,0.00030969,0,0.00030969,0.000007864
2018-05-05,32.17831497,0.00054212,0,0.00054212,0.000016847
2018-05-06,31.28195837,0.0003783,0,0.0003783,0.000012093
2018-05-07,35.90014262,0.00047051,0,0.00047051,0.000013106
2018-05-08,34.29413578,0.00056379,0,0.00056379,0.00001644
2018-05-09,30.52956993,0.0001428,0,0.0001428,0.000004677
2018-05-10,26.71177891,0.00005861,0,0.00005861,0.000002194
2018-05-11,38.61210375,0.00012818,0,0.00012818,0.00000332
2018-05-12,28.38834405,0.0003419,0,0.0003419,0.000012044
2018-05-13,23.33858622,0.00026867,0,0.00026867,0.000011512
2018-05-14,35.25774075,0.00049405,0,0.00049405,0.000014013
2018-05-15,37.83474629,0.00080531,0,0.00080531,0.000021285
